,#,Date,Best Picture,U.S. viewers (millions),HH Rating,Host(s),Producer(s),Venue,Network,url
87,88th,"February 28, 2016",Spotlight,34.43 million,19.37,Chris Rock,David Hill Reginald Hudlin,Dolby Theatre,ABC,https://en.wikipedia.org/wiki/88th_Academy_Awards
88,89th,"February 26, 2017",Moonlight,33.00 million,18.39,Jimmy Kimmel,Michael De Luca Jennifer Todd,Dolby Theatre,ABC,https://en.wikipedia.org/wiki/89th_Academy_Awards
89,90th,"March 4, 2018",The Shape of Water,26.62 million,14.87,Jimmy Kimmel,Michael De Luca Jennifer Todd,Dolby Theatre,ABC,https://en.wikipedia.org/wiki/90th_Academy_Awards
90,91st,"February 24, 2019",Green Book,29.56 million,16.4,none,Donna Gigliotti Glenn Weiss,Dolby Theatre,ABC,https://en.wikipedia.org/wiki/91st_Academy_Awards
91,92nd,"February 9, 2020",Parasite,23.64 million,13.59[10],none,Lynette Howell Taylor Stephanie Allain,Dolby Theatre,ABC,https://en.wikipedia.org/wiki/92nd_Academy_Awards
92,93rd,"April 25, 2021",Nomadland,10.40 million,5.9,none,Jesse Collins Stacey Sher Steven Soderbergh,Union Station,ABC,https://en.wikipedia.org/wiki/93rd_Academy_Awards
93,94th,"March 27, 2022",CODA,16.62 million,9.0,Regina Hall Amy Schumer Wanda Sykes,Will Packer Shayla Cowan,Dolby Theatre,ABC,https://en.wikipedia.org/wiki/94th_Academy_Awards
94,95th,"March 12, 2023",Everything Everywhere All at Once,18.70 million,9.9,Jimmy Kimmel,Ricky Kirshner Glenn Weiss,Dolby Theatre,ABC,https://en.wikipedia.org/wiki/95th_Academy_Awards
95,96th,"March 10, 2024",Oppenheimer,19.50 million,9.9,Jimmy Kimmel,Raj Kapoor Katy Mullan,Dolby Theatre,ABC,https://en.wikipedia.org/wiki/96th_Academy_Awards
96,97th,"March 2, 2025",Anora,19.69 million,9.1,Conan O'Brien,Raj Kapoor Katy Mullan,Dolby Theatre,ABC Hulu,https://en.wikipedia.org/wiki/97th_Academy_Awards
97,98th,"March 15, 2026[11]",—,—,—,Conan O'Brien,Raj Kapoor Katy Mullan,Dolby Theatre,ABC Hulu,https://en.wikipedia.org/wiki/98th_Academy_Awards
